profile_record_id,profile,site_info_id,sample_id,soil_type_id
4152,19c_63,1270,,779.0
4153,19c_65,1271,,
4154,1c_63,1272,,780.0
4155,1c_64,1273,,
4156,2_57,1274,,
4168,2_61,1276,,
4169,2_62,1277,,
4170,2_63,1278,,783.0
4171,2_64,1279,,
4172,2_65,1280,,
4177,2_68,1282,,
4187,20_54,1284,,
4239,20_63,1291,,792.0
4240,20_66,1292,,
4241,20_68,1293,,
4242,200_46,1294,,
4268,200_59,1299,,797.0
4292,200_65,1302,,
4303,200_68,1304,,801.0
4304,200c_60,1305,,
4305,200c_62,1306,,802.0
4306,200c_63,1307,,803.0
4307,201_46,1308,,
4318,201_59,1310,,806.0
4319,201_61,1311,,
4339,201_66,1314,,
4350,201c_63,1316,,810.0
4351,202_46,1317,,
4374,202_59,1320,,814.0
4375,202_60,1321,,
4376,202_61,1322,,
4377,202_63,1323,,815.0
4388,202_66,1325,,817.0
4394,202c_60,1327,,820.0
4395,202c_63,1328,,821.0
4396,203_46,1329,,
4397,203_54,1330,,
4398,203_55,1331,,
4399,203_56,1332,,
4400,203_59,1333,,823.0
4410,203_63,1335,,825.0
4419,203_66,1337,,
4420,203_70,1338,,
4421,203c_60,1339,,827.0
4422,203c_63,1340,,828.0
4423,203c_65,1341,,
4424,204_46,1342,,
4425,204_57,1343,,
4426,204_59,1344,,830.0
4436,204_63,1346,,832.0
4437,204_65,1347,,
4438,204_66,1348,,
4439,204_68,1349,,833.0
4440,204c_60,1350,,
4441,204c_63,1351,,834.0
4442,204c_65,1352,,835.0
4443,205_46,1353,,
4444,205_57,1354,,
4445,205_59,1355,,836.0
4446,205_61,1356,,
4447,205_62,1357,,
4468,205_66,1360,,
4469,205_70,1361,,
4474,2055_55,1363,,
4475,205c_62,1364,,
4476,205c_63,1365,,840.0
4477,206_46,1366,,
4494,206_57,1368,,
4495,206_59,1369,,842.0
4504,206_63,1371,,844.0
4505,206_66,1372,,
4520,206_70,1374,,
4525,206c_60,1376,,847.0
4526,206c_62,1377,,
4527,206c_63,1378,,848.0
4528,206c_65,1379,,
4536,207_56,1381,,
4537,207_57,1382,,
4573,207_62,1387,,
4574,207_63,1388,,854.0
4581,207_66,1390,,
4582,207_68,1391,,
4583,207c_62,1392,,856.0
4584,207c_63,1393,,857.0
4585,207c_65,1394,,858.0
4604,208_57,1397,,
4605,208_59,1398,,862.0
4606,208_60,1399,,
4615,208_65,1401,,
4616,208_66,1402,,
4628,209_57,1404,,
4639,209_59,1406,,867.0
4640,209_62,1407,,
4641,209_63,1408,,868.0
4642,209_66,1409,,
4643,209_68,1410,,869.0
4649,209c_62,1412,,871.0
4650,209c_63,1413,,872.0
4651,20c_60,1414,,
4652,20c_63,1415,,873.0
4659,21_56,1417,,
4666,21_59,1419,,876.0
4667,21_61,1420,,
4668,21_62,1421,,
4692,21_66,1424,,
4703,21_69,1426,,
4721,210_59,1429,,882.0
4722,210_60,1430,,
4723,210_63,1431,,883.0
