site_info_id,ID,profile,X_coord,Y_coord,land_cover_id,climate_id,geology_id,topo_feature_id,sampling_date,districts_id,district
551,1992,139_56,16.12082862854,-12.20721244812,,,,,,,Huambo
553,472,139_60,15.06907558441,-7.62159919739,,,,,,,Uige e Zaire
555,2230,139_62,17.01327514648,-12.77115058899,,,,,,,Bie
557,3128,139_66,18.90250923043,-14.77873760006,,,,,,,
558,1259,139_68,14.0440196991,-10.09995937347,,,,,,,Bengo
562,1190,139C_62,14.92050933838,-9.90996265411,,,,,,,Cuanza Sul
566,2684,14_55,13.42302322388,-14.94631385803,,,,,,,Huila
568,2671,14_57,12.3334941864,-14.90641593933,,,,,,,Namibe
570,2471,14_62,16.84202194214,-13.58642101288,,,,,,,Bie
574,1013,14_69,14.47084140778,-9.51697444916,,,,,,,Cuanza Norte
578,478,140_60,15.05086803436,-7.66001081467,,,,,,,Uige e Zaire
579,2213,140_62,16.74590110779,-12.74007129669,,,,,,,Bie
581,2662,140_64,21.75059890747,-14.85877323151,,,,,,,Moxico
582,3212,140_66,19.64053697137,-14.63519082481,,,,,,,
583,607,140_70,15.62765216827,-8.44354629517,,,,,,,Cuanza Norte
585,627,140C_65,21.17786407471,-8.5485830307,,,,,,,Lunda Norte
587,488,141_60,15.01190090179,-7.71994543076,,,,,,,Uige e Zaire
590,3687,141_65,0.0,0.0,,,,,,,Lundas e Moxico
591,3213,141_66,19.67512871369,-14.61199400937,,,,,,,
593,159,141C_60,13.68396949768,-6.10173273087,,,,,,,Uige e Zaire
596,616,141C_65,21.14752197266,-8.47642803192,,,,,,,Lundas e Moxico
598,2510,142_55,15.10212993622,-13.82227230072,,,,,,,Huila
600,495,142_60,15.01490116119,-7.75463533401,,,,,,,Uige e Zaire
602,2221,142_62,16.69972038269,-12.74940490723,,,,,,,Bie
604,1964,142_69,13.75495433807,-12.15509033203,,,,,,,Benguela
605,590,142_70,15.72187900543,-8.41306591034,,,,,,,Cuanza Norte
609,2194,142C_64,23.67703819275,-12.69785308838,,,,,,,Moxico
610,610,142C_65,21.19904708862,-8.46071243286,,,,,,,Lunda Norte
611,2385,143_46,15.60874557495,-13.28661823273,,,,,,,Huambo
612,2773,143_54,13.68490505219,-15.24300384521,,,,,,,Huila
615,515,143_60,15.02735424042,-7.90357351303,,,,,,,Uige e Zaire
617,3214,143_66,19.6336186229,-14.72594327821,,,,,,,
618,1380,143_68,13.94120025635,-10.5065202713,,,,,,,Cuanza Sul
619,1952,143_69,13.74781799316,-12.12753391266,,,,,,,Benguela
620,141,143C_60,13.57169723511,-5.98923110962,,,,,,,Uige e Zaire
