row_index,site_info_id,variable,value
1,1927.0,flow_accumulation,49.27999999999963
90,981.0,flow_accumulation,49.27999999999963
94,940.0,flow_accumulation,49.27999999999963
376,2415.0,flow_accumulation,49.27999999999963
575,2569.0,flow_accumulation,49.27999999999963
578,355.0,flow_accumulation,49.27999999999963
643,1137.0,flow_accumulation,49.27999999999963
645,849.0,flow_accumulation,49.27999999999963
769,2892.0,flow_accumulation,49.27999999999963
805,2667.0,flow_accumulation,49.27999999999963
24,2410.0,flowline_curve,-2.0437710190890357e-07
51,132.0,flowline_curve,8.47476968601768e-08
120,2330.0,flowline_curve,-2.3932969384077296e-07
129,2448.0,flowline_curve,-4.32751562584599e-07
148,2679.0,flowline_curve,5.824839490742306e-07
216,2450.0,flowline_curve,-3.42510304562893e-07
224,2466.0,flowline_curve,-2.8984774758100684e-07
231,344.0,flowline_curve,-1.8489498643248223e-06
254,977.0,flowline_curve,8.3687055507653e-08
267,2277.0,flowline_curve,1.2929608317335808e-07
312,561.0,flowline_curve,-3.162779762533319e-07
401,2301.0,flowline_curve,2.0867733496743313e-07
444,2353.0,flowline_curve,-1.7759943204964657e-07
491,254.0,flowline_curve,-1.5218003568406857e-07
509,1753.0,flowline_curve,3.2523735171707813e-07
568,1662.0,flowline_curve,9.49012246564962e-08
588,2209.0,flowline_curve,1.155715835921001e-06
672,2847.0,flowline_curve,3.078536678913224e-07
850,9.0,flowline_curve,-1.9008133733677826e-07
872,14.0,flowline_curve,2.122958022710009e-07
51,132.0,general_curve,-0.0001571414468344
89,502.0,general_curve,0.000207030767342
148,2679.0,general_curve,0.0001646923774387
226,2459.0,general_curve,0.0002073441137326
